# ACTS Test Suite Generation: Mon Mar 05 13:40:36 CST 2018
#  * represents don't care value 

# Degree of interaction coverage: 4
# Number of parameters: 122
# Maximum number of values per parameter: 2
# Number of configurations: 140
# ****************************************************
CONFIG_EPOLL,CONFIG_SCHED_AUTOGROUP,CONFIG_DEBUG_USER,CONFIG_NO_HZ_COMMON,CONFIG_COMPAT,CONFIG_FUNCTION_TRACER,CONFIG_PREEMPT_RCU,CONFIG_NO_HZ_FULL,CONFIG_ALPHA_EV4,CONFIG_ALPHA_EV6,CONFIG_DEBUG_HIGHMEM,CONFIG_TINY_PREEMPT_RCU,CONFIG_PREEMPT_NOTIFIERS,CONFIG_METAG,CONFIG_NUMA_BALANCING,CONFIG_DISCONTIGMEM,CONFIG_INOTIFY_USER,CONFIG_X86_32,CONFIG_HIGHMEM,CONFIG_MODULE_UNLOAD,CONFIG_BLOCK,CONFIG_BSD_PROCESS_ACCT,CONFIG_PROVE_RCU,CONFIG_ARM_LPAE,CONFIG_MEMCG,CONFIG_SCHEDSTATS,CONFIG_KPROBES_SANITY_TEST,CONFIG_GENERIC_BUG,CONFIG_SMP,CONFIG_TASK_XACCT,CONFIG_DEBUG_MUTEXES,CONFIG_SYSCTL,CONFIG_LATENCYTOP,CONFIG_PAGEFLAGS_EXTENDED,CONFIG_BCACHE,CONFIG_KPROBES_ON_FTRACE,CONFIG_PPC,CONFIG_HAVE_ARCH_EARLY_PFN_TO_NID,CONFIG_CGROUP_PERF,CONFIG_HAVE_MEMBLOCK_NODE_MAP,CONFIG_PARISC,CONFIG_SWAP,CONFIG_AUDITSYSCALL,CONFIG_X86,CONFIG_FTRACE_MCOUNT_RECORD,CONFIG_MM_OWNER,CONFIG_RT_MUTEXES,CONFIG_HAVE_HW_BREAKPOINT,CONFIG_UPROBES,CONFIG_NUMA,CONFIG_EVENT_TRACING,CONFIG_CGROUPS,CONFIG_TRACING,CONFIG_PREEMPT_COUNT,CONFIG_AUDIT,CONFIG_HUGETLBFS,CONFIG_DEBUG_SET_MODULE_RONX,CONFIG_TASK_DELAY_ACCT,CONFIG_RT_GROUP_SCHED,CONFIG_OLD_SIGACTION,CONFIG_CC_STACKPROTECTOR,CONFIG_DEBUG_VM_RB,CONFIG_CGROUP_SCHED,CONFIG_LOCKDEP,CONFIG_CPUMASK_OFFSTACK,CONFIG_BCACHE_MODULE,CONFIG_DEBUG_STACK_USAGE,CONFIG_CONSTRUCTORS,CONFIG_OPTPROBES,CONFIG_DEBUG_PAGEALLOC,CONFIG_SPARSEMEM,CONFIG_PROC_FS,CONFIG_HIBERNATION,CONFIG_GENERIC_HARDIRQS,CONFIG_LOCKUP_DETECTOR,CONFIG_STACK_GROWSUP,CONFIG_IA64,CONFIG_FAULT_INJECTION,CONFIG_VIRT_CPU_ACCOUNTING_NATIVE,CONFIG_TRACEPOINTS,CONFIG_HAVE_UNSTABLE_SCHED_CLOCK,CONFIG_MMU,CONFIG_TRACE_IRQFLAGS,CONFIG_MEMORY_FAILURE,CONFIG_POSIX_MQUEUE,CONFIG_TASKSTATS,CONFIG_SYSVIPC,CONFIG_KEYS,CONFIG_FUTEX,CONFIG_CORE_DUMP_DEFAULT_ELF_HEADERS,CONFIG_MEMORY_HOTPLUG,CONFIG_ALPHA_GENERIC,CONFIG_HOTPLUG_CPU,CONFIG_SPARSEMEM_VMEMMAP,CONFIG_FANOTIFY,CONFIG_RCU_BOOST,CONFIG_UNUSED_SYMBOLS,CONFIG_IRQ_TIME_ACCOUNTING,CONFIG_PREEMPT,CONFIG_ARCH_USES_PG_UNCACHED,CONFIG_FUNCTION_GRAPH_TRACER,CONFIG_BLK_DEV_IO_TRACE,CONFIG_MODULE_SIG,CONFIG_CPUSETS,CONFIG_KRETPROBES,CONFIG_ARCH_USES_NUMA_PROT_NONE,CONFIG_COMPAT_BRK,CONFIG_PERF_EVENTS,CONFIG_ALPHA_LARGE_VMALLOC,CONFIG_BROKEN_RODATA,CONFIG_SYSFS,CONFIG_VIRT_CPU_ACCOUNTING_GEN,CONFIG_KPROBES,CONFIG_TINY_RCU,CONFIG_CPU_SUP_INTEL,CONFIG_TRANSPARENT_HUGEPAGE,CONFIG_SCHED_DEBUG,CONFIG_KALLSYMS,CONFIG_FAIR_GROUP_SCHED,CONFIG_DETECT_HUNG_TASK,CONFIG_TREE_PREEMPT_RCU,CONFIG_MODULES
true,false,false,true,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,true,false,false,true,true,true,false,true,false,false,true,false,false,true,true,true,true,false,false,false,true,true,false,true,true,true,false,false,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,false,false,true,true,true,true,true,false,true,false,false,false,false,true,false,true,true,true,true,false,false,false,true,false,true,true,true,false,true,true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,false,true,true,true,true,true
false,false,true,false,false,false,true,true,true,false,true,true,true,true,true,true,false,false,false,false,true,true,false,true,false,false,false,false,true,true,false,true,true,true,false,false,false,false,false,true,false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,true,true,false,false,true,true,false,true,false,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,false,false,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,true,false,false,false,false,true,false,true,false,false,true,false,true,true
true,true,false,true,false,false,false,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false,true,true,true,false,false,true,true,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false,false,true,false,false,true,true,false,false,true,true,true,false,true,false,true,false,true,true,false,false,true,true,false,true,false,true,false,true,false,false,false,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,false
false,true,true,false,false,false,true,false,false,true,false,false,false,false,true,false,true,true,true,false,true,false,true,false,true,false,true,false,false,true,false,true,false,false,false,false,true,true,true,false,true,true,false,true,true,true,true,false,false,false,false,true,true,false,true,false,true,true,false,false,false,false,false,true,true,true,true,true,false,true,false,false,false,true,true,false,false,true,true,true,false,true,true,false,false,true,false,false,false,true,true,true,true,true,false,false,false,false,true,true,false,false,true,true,true,false,false,true,false,true,true,false,false,false,false,true,true,true,true,true,false,false
false,true,true,false,false,false,false,true,true,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,true,false,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,false,true,true,false,false,false,false,false,false,true,false,true,true,false,false,true,true,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,true,false,false,false,true,false,true,true,false,false,true,false,false,false,true,true,false,false,false,false,true,true,true,false,false,false,true,false,true,true
true,false,true,false,false,true,false,true,false,true,false,true,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,true,true,false,true,true,false,true,true,false,true,false,false,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,false,false,false,true,true,false,true,false,false,true,false,true,true,false,false,true,false,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false,true,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,true,true,true,true,false,true,false,true,false,true,false,false,false,true,true,true,false,false
false,true,false,false,false,false,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,false,true,false,false,true,false,true,false,true,true,true,false,true,false,false,false,true,false,false,false,true,true,false,false,true,false,false,true,false,true,true,true,false,false,false,false,false,true,false,true,false,true,true,false,true,true,false,false,false,true,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,true,false,true,true,true,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,false,true,false,false,false,true,true
true,true,false,false,false,false,true,false,false,false,true,true,true,false,false,true,false,false,false,true,false,true,true,false,true,false,true,true,false,true,true,false,false,false,false,true,true,true,false,false,true,false,false,true,true,false,false,false,true,true,false,true,false,false,false,false,false,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,false,false,true,true,false,true,false,false,false,false,true,false,false,true,false,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true,false,false,false,true,true,false
true,true,false,true,true,true,true,false,true,true,false,false,true,false,true,true,false,true,true,true,true,false,false,true,true,true,false,false,true,true,false,false,true,false,true,false,false,true,true,true,false,false,true,false,false,false,true,true,true,true,false,true,true,false,false,true,false,false,true,false,true,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,false,true,false,true,true,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true
true,false,false,true,true,true,true,false,false,false,true,true,false,true,false,false,true,false,true,false,true,true,true,false,true,false,true,true,false,false,true,true,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true,false,true,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true,false,true,false,false,true,false,true,true,false,true,false,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,true,true,false,true,false,true
false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,true,true,false,false,true,true,false,false,true,true,false,true,false,false,false,false,true,true,false,false,true,true,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,true,true,false,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,false,false,false,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,true,true,false,false,true,true,true
false,true,true,true,true,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,false,false,false,true,false,false,true,true,false,true,false,true,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,true,false,true,true,false,false,true,true,false,true,false,true,false,false,true,true,true,false,true,true,false,true,true,false,true,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,true,true,false,true,false,true,false,true,true,false,true,true,false,true,true,true,false,true,true,false,false,false,true,false,true,true,true,false,false,false,true,true,false,true,true
true,false,false,true,true,false,true,true,true,false,false,true,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,true,true,false,true,true,true,true,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,true,false,true,true,true,true,true,false,false,false,true,false,true,true,true,false,true,false,true,true,false,true,false,true,false,false,true,false,true,false,false,false,true,true,false,true,false,false,true,true,false,false,false,true,false,false,false,true,true,true,true,false,false,false
true,true,true,true,true,false,true,true,false,false,false,true,true,false,false,true,true,false,false,true,false,true,false,true,true,true,false,true,false,false,true,true,true,false,false,false,true,true,false,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,false,true,false,false,true,true,true,false,true,false,true,true,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,true,false,true,false,false,true,false,true,false,true,false,false,true,false,false,true,true,true,false
false,true,true,false,true,true,true,true,true,true,false,false,false,false,true,false,false,false,true,true,true,false,true,true,true,false,true,false,false,true,false,true,true,true,true,true,false,true,false,false,true,true,false,true,false,true,false,true,true,false,false,false,true,false,true,false,false,true,false,true,false,true,false,false,false,true,false,true,false,false,false,true,true,false,true,true,true,false,true,false,true,false,true,false,false,false,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,false,false,true,false,false,false,false,true,true,true,false,false,true,true,true,false,false,false,false,true
false,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,false,false,true,true,true,true,true,true,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,true,false,true,true,false,true,false,true,true,false,true,false,false,true,false,true,true,false,true,false,true,true,true,true,false,false,false,false,true,false,false,true,false,true,false,true,true,false,false,true,false,true,true,false,true,false,false,true,true,true,true,false,true,false,false,false,false,false,true,true,false,false,true,false,false,false
false,false,false,true,true,false,false,false,false,false,false,true,true,true,false,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,false,false,false,false,true,true,false,true,false,false,false,true,false,true,false,false,true,true,false,false,true,false,true,false,true,true,true,true,false,false,false,true,true,false,false,false,false,true,false,true
false,false,true,false,false,false,false,false,false,true,true,false,false,true,false,true,true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,true,true,false,false,false,false,true,false,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false,false,true,false,false,true,false,true,false,false,true,true,true,true,false,false,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,false,false,true,true,true,false,true,true,false,true,false,false,false
true,false,false,false,false,true,false,false,true,false,true,false,true,false,true,false,true,false,false,false,true,true,true,true,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,true,false,true,false,false,false,true,true,false,false,true,false,true,true,true,true,false,false,true,false,false,true,true,true,true,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,true,false,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true,true,true,false,true,true,true,true,false
true,true,true,false,false,false,false,false,true,false,true,false,true,false,true,false,true,true,true,true,false,true,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,false,true,false,true,false,false,true,true,true,true,true,true,false,true,false,true,false,true,false,true,false,true,true,true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,true,true,false
true,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true,false,false,true,false,false,true,true,false,false,false,true,true,false,false,false,false,true,false,false,true,false,true,true,true,false,false,true,false,false,false,false,true,false,false,true,false,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,false,false,true,true,false,false,false,true,true,false,true,false,false,true,true,true,false,true,false,true,true,false,false,true,false,false,true,false,true,true,false,true,true,true
false,false,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true,false,false,true,true,true,false,false,true,false,true,false,false,true,true,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,false,false,true,false,false,true,false,true,false,false,true,true,false,true,false,true,true,false,false,true,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false,false,false,false,true,false,true,false,true,true,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,true,false
false,true,true,true,true,true,false,true,true,true,false,false,true,true,false,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,true,true,true,true,false,false,false,true,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false,false,true,true,true,true,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false,true,true,true,true,true,true,true,false,false,true,false,false,true
false,false,false,false,false,true,true,false,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,false,false,false,false,true,true,true,false,false,true,true,false,false,false,false,true,false,false,true,false,true,false,false,false,false,true,true,false,true,true,true,true,false,false,true,false,true,true,true,false,true,false,false,true,false,true,false,true,false,false,false,false,true,true,false,true,true,false,true,false,true,false,true,false,false,true,true,false,false,true,true,false,true,false,true,false,false,false,true,false,false,false,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false,false,false
false,true,true,false,false,true,true,true,true,false,false,false,true,true,true,false,true,false,false,true,true,false,false,false,true,false,true,false,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,true,false,true,true,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,false,true,false,true,false,false,true,true,true,true,true,false,false,true,false,true,false,false,false,true,true,false,true,false,false,true,true,true,true,false,false,true,true,false,false,false,true
true,false,false,true,false,false,false,true,true,true,false,true,false,true,false,false,false,true,false,false,true,true,false,true,false,true,false,true,false,false,true,false,false,true,true,true,false,false,true,true,true,true,true,true,false,true,false,true,false,false,false,true,false,false,true,true,false,false,true,true,true,true,true,false,true,false,true,true,false,true,false,false,true,false,true,false,false,true,true,true,true,true,false,false,true,true,false,true,true,false,true,false,true,false,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true,false,true,false,false,false,true,true
true,true,true,false,true,true,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,true,false,true,true,true,false,false,false,true,true,false,true,false,true,true,false,false,true,true,false,true,true,true,false,false,true,true,true,true,false,false,true,false,true,true,false,true,false,true,true,false,false,false,false,false,false,true,false,true,false,false,true,true,false,true,true,false,true,false,true,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true,true
false,false,false,true,true,false,true,true,true,false,false,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,false,true,true,false,true,true,false,false,true,false,true,false,false,false,true,false,true,true,true,true,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,true,true,false,true,true,false,false,false,true,true,false,true,true,false,false,true,false,true,true,true,false,true,false,true,true,true,false,false,false,false,false,true,false,false,true,true,false,true,false,true,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,true,false
false,false,true,true,false,false,false,true,true,false,true,false,false,true,true,false,false,false,false,true,true,true,true,false,false,false,false,false,false,true,true,false,false,true,false,true,true,true,false,false,true,false,true,false,true,true,true,false,true,true,true,false,true,true,true,false,true,true,false,true,false,true,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,false,true,false,true,false,true,true,false,true,true,false,false,false,false,false,true,true,false,false,false,true,true,true,false,true,false,true,false,false,false,false,true,true,false,true,true,false,true,false,false,true,false,true,false,false
true,false,false,false,false,true,false,true,false,true,true,true,true,false,false,false,true,false,true,true,true,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,false,true,true,false,true,false,false,true,true,false,true,true,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,true,true,true,true,false,true,false,true,true,false,false,true,false,false,true,true,false,true,true,true,false,true,false,false,true,true,false,false,false,true,false,true,false,false,false,true,true,false,true,true,false
false,false,false,false,false,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,true,false,true,false,false,true,false,true,true,true,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true,false,true,false,false,false,false,false,false,false,true,false,true,false,true,false,true
true,false,false,false,true,true,true,true,true,false,true,false,false,true,false,true,false,false,false,true,false,false,false,true,true,true,true,true,true,true,false,false,true,false,true,false,false,true,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true,true,true,false,true,true,true,false,false,false,true,false,false,true,false,true,false,true,false,false,true,false,true,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,true,true,true,true,false,false,true,true,true,true
false,true,false,false,true,false,false,true,false,false,true,false,true,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,false,true,false,false,false,true,true,true,false,true,true,true,false,false,false,false,true,true,true,false,false,true,true,true,false,true,false,false,true,false,true,true,true,false,false,false,false,true,true,false,false,true,true,true,true,true,false,false,false,true,true,true,true,false,true,true,true,false,true,false,true,false,false,false,false,false,false,true,true,false,true,false,true,false,true,false,false,true,true,false,false,true,false,true,false,false,false,false,true,false,false,true,false,false
false,true,true,true,true,false,true,true,false,false,false,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,true,false,true,false,false,true,true,false,false,true,false,false,false,true,false,false,false,true,false,true,false,true,true,false,true,false,false,false,true,true,false,true,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,false,true,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false,false,true,false,false,false,true,true,false,false,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true,true,false,true,false,true,true
true,true,true,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,false,true,false,false,true,true,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,false,true,false,false,true,false,true,false,false,false,true,false,false,true,true,true,false,true,false,false,true,true,false,false,true,false,false,false,false,false,false,true,false,true,false,false,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true
true,false,true,true,true,true,false,false,true,true,false,false,true,false,true,true,false,false,false,true,false,true,false,false,false,false,true,true,true,false,true,true,true,false,true,false,true,false,false,true,true,true,false,false,true,true,false,true,false,true,true,false,true,true,false,false,false,false,false,true,true,true,false,false,false,false,false,true,true,true,true,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,false,true,true,false,true,false,false,false,true
true,true,true,false,true,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true,true,true,false,false,true,false,true,true,false,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,true,true,true,false,true,false,false,false,false,false,false,true,true,true,true,false,false,false,true,true,false,false,false,true,false,true,false,false,true,true,false,false,false,true,false,false,true,true,true,true,true,true,true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false
true,false,true,true,false,false,true,false,false,false,true,true,false,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,true,false,true,true,true,true,true,false,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,false,false,true,true,false,false,true,false,false,true,false,true,false,true,true,true,true,false,false,true,true,false,true,true,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,false,true,false
false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,true,false,true,false,true,true,false,true,true,false,false,true,true,false,true,false,false,false,true,false,true,false,false,false,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,true,false,false,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,false,true,false,false,false,true,true,false,true,false,false,false,false,true,false,true,true,false,false,false,false,true,false,true,true,false,false,true,false,true,false,true,true,false,false,false,false,true,false,false,false,true,false
true,false,true,false,true,true,true,false,true,true,false,false,false,false,false,false,true,true,true,false,false,true,true,true,true,false,false,true,false,true,true,false,false,true,true,false,true,true,false,false,false,false,true,false,true,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,false,true,true,true,false,false,true,true,false,false,true,false,false,false,true,false,true,false,true,false,true,true,true,false,false,true,false,false,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,false,false,true,false,false,true,true,true,true
true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true,true,false,true,true,true,true,true,true,false,true,false,true,false,true,false,false,true,false,true,true,false,false,true,false,false,true,true,true,false,false,false,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,false,false,false,false,false,true,false,false,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true,true,true,false,true,false,true,true,true,false,false,false,false,true,false
false,true,false,true,false,true,true,false,false,false,false,false,true,false,false,true,false,true,false,true,true,true,true,true,false,false,false,true,false,true,true,true,false,false,false,false,true,false,false,true,false,true,false,true,true,true,true,true,true,true,true,false,false,false,false,true,true,false,false,true,true,true,false,true,false,false,true,true,true,false,true,false,true,false,true,false,false,true,true,false,false,false,false,false,false,true,true,true,false,true,true,true,true,false,false,true,true,false,true,false,true,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true
true,true,true,true,false,false,true,false,false,true,true,false,false,false,true,false,false,true,true,false,false,false,true,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,false,false,true,false,true,false,false,true,true,false,true,false,false,true,false,true,false,true,true,true,true,false,false,false,true,true,false,false,true,true,false,false,true,false,false,false,false,true,false,true,true,true,false,true,false,true,true,false,true,false,false,false,false,true,false,false,true,true,false,false,true,true,false,false,true,true,true,true,false,false,false,true,false,false,true,false,true,false,true,false,true
false,true,true,true,false,true,true,false,false,true,true,true,true,true,true,false,true,false,true,true,false,false,false,false,true,true,true,false,false,false,true,false,true,false,false,true,true,false,true,false,true,false,false,false,true,false,false,false,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,false,true,false,true,true,true,false,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,true,true,false,true,false,false,true,true,true,false,true,true,true,false,false,false
false,false,false,false,true,true,false,false,true,true,true,true,true,false,false,true,false,true,true,true,false,false,true,true,false,true,false,true,true,false,false,true,false,false,false,false,false,true,true,true,false,false,false,false,true,true,true,false,true,false,true,false,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,true,true,false,true,true,true,false,false,false,true,true,true,true,false,true,false,false,true,false,true,false,false,true,true,true,true,true,false,false,false,true,true,false,true,false,false,true,true,true,false,true,false,true,false,false,false,true,true,true,false,true,true,true,false
true,false,false,false,true,true,false,true,false,false,false,true,true,false,false,false,false,true,true,false,true,false,false,true,true,true,false,true,false,true,true,false,false,true,false,true,true,false,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false,true,false,true,true,false,true,true,true,true,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,true,false,false,true,true,false,false,true,true,false,true,false,true,true,true,false,true,true,false,true,false,true,false,true,true,true,false,false,false,true,false,true,true,true,false,true
false,false,false,true,false,true,false,true,true,false,true,false,false,true,false,true,true,true,false,false,true,false,true,false,true,true,true,false,true,true,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,false,true,true,true,true,true,true,false,true,false,false,true,false,true,false,true,true,true,true,true,false,false,true,true,false,true,true,false,true,false,true,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false,true,false,true,true,false,true,true,true,false,false,false,true,false,false,true,false,true,false,true,true,true,false,false,true,true,true,true,false,true
true,true,false,true,false,false,true,true,true,false,true,false,false,true,false,true,false,false,false,false,true,true,false,true,true,false,false,true,true,true,true,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,true,true,true,false,true,false,false,true,false,true,true,false,false,false,false,true,false,true,false,false,false,true,false,true,true,true,false,true,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,true,true,true,true,false,false,false,true,true,false,true,true
